run,secret_type,family,n_samples,detection_rate,ceiling,ratio_uncapped,retention_capped
gitleaks/decode,google_api_key,splitting,150,0.0333,1.0000,0.0333,0.0333
gitleaks/decode,jwt,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,jwt,composition,60,0.1167,1.0000,0.1167,0.1167
gitleaks/decode,jwt,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,jwt,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,jwt,encoding,630,0.4286,1.0000,0.4286,0.4286
gitleaks/decode,jwt,indirection,60,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,jwt,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,jwt,splitting,150,0.0267,1.0000,0.0267,0.0267
gitleaks/decode,slack_bot_token,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,slack_bot_token,composition,60,0.0167,1.0000,0.0167,0.0167
gitleaks/decode,slack_bot_token,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,slack_bot_token,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,slack_bot_token,encoding,630,0.8587,1.0000,0.8587,0.8587
gitleaks/decode,slack_bot_token,indirection,60,0.5000,1.0000,0.5000,0.5000
gitleaks/decode,slack_bot_token,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,slack_bot_token,splitting,150,0.1400,1.0000,0.1400,0.1400
gitleaks/decode,stripe_secret_key,char_format,120,0.0000,1.0000,0.0000,0.0000
gitleaks/decode,stripe_secret_key,composition,60,0.0667,1.0000,0.0667,0.0667
gitleaks/decode,stripe_secret_key,contextual,180,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,stripe_secret_key,control,90,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,stripe_secret_key,encoding,630,0.8508,1.0000,0.8508,0.8508
gitleaks/decode,stripe_secret_key,indirection,60,0.4833,1.0000,0.4833,0.4833
gitleaks/decode,stripe_secret_key,multi_encoding,270,1.0000,1.0000,1.0000,1.0000
gitleaks/decode,stripe_secret_key,splitting,150,0.0867,1.0000,0.0867,0.0867
betterleaks/default,aws_access_key_id,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_access_key_id,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_access_key_id,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,aws_access_key_id,control,90,1.0000,1.0000,1.0000,1.0000
betterleaks/default,aws_access_key_id,encoding,630,0.1429,1.0000,0.1429,0.1429
betterleaks/default,aws_access_key_id,indirection,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_access_key_id,multi_encoding,270,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_access_key_id,splitting,150,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_keypair,char_format,120,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_keypair,composition,60,0.0000,1.0000,0.0000,0.0000
betterleaks/default,aws_keypair,contextual,180,1.0000,1.0000,1.0000,1.0000
betterleaks/default,aws_keypair,control,90,1.0000,1.0000,1.0000,1.0000
